date,game_number_day,day of week,away,away_league,away_game_number,home,home_league,home_game_number,away_score,home_score,length_outs,day_night,completion_information,forfeit_informaton,protest_information,park_id,attendance,length_min,away_line_score,home_line_score,away_at_bats,away_hits,away_singles,away_doubles,away_triples,away_home_runs,away_rbi,away_sac_hit,away_sac_fly,away_hbp,away_walks,away_int_walks,away_strikeouts,away_stolen,away_caught_stealing,away_grounded_double_play,away_awarded_first_catch_interference,away_lob,away_pitchers_used,away_individual_er,away_team_er,away_wild_pitch,away_balks,away_putouts,away_assists,away_errors,away_passed_balls,away_double_plays,away_triple_plays,home_at_bats,home_hits,home_singles,home_doubles,home_triples,home_home_runs,home_rbi,home_sac_hit,home_sac_fly,home_hbp,home_walks,home_int_walks,home_strikeouts,home_stolen,home_caught_stealing,home_grounded_double_play,home_awarded_first_catch_interference,home_lob,home_pitchers_used,home_individual_er,home_team_er,home_wild_pitch,home_balks,home_putouts,home_assists,home_errors,home_passed_balls,home_double_plays,home_triple_plays,home_plate_ump:id,home_plate_ump,1B_ump:id,1B_ump,2B_ump:id,2B_ump,3B_ump:id,3B_ump,LF_ump:id,LF_ump,RF_ump:id,RF_ump,away_manager:id,away_manager,home_manager:id,home_manager,w_pitcher:id,w_pitcher,l_pitcher:id,l_pitcher,s_pitcher:id,s_pitcher,w_rbi_batter:id,w_rbi_batter,away_st_pitcher:id,away_st_pitcher,home_st_pitcher:id,home_st_pitcher,away_st_1:id,away_st_1,away_st_1:def_pos,away_st_2:id,away_st_2,away_st_2:def_pos,away_st_3:id,away_st_3,away_st_3:def_pos,away_st_4:id,away_st_4,away_st_4:def_pos,away_st_5:id,away_st_5,away_st_5:def_pos,away_st_6:id,away_st_6,away_st_6:def_pos,away_st_7:id,away_st_7,away_st_7:def_pos,away_st_8:id,away_st_8,away_st_8:def_pos,away_st_9:id,away_st_9,away_st_9:def_pos,home_st_1:id,home_st_1,home_st_1:def_pos,home_st_2:id,home_st_2,home_st_2:def_pos,home_st_3:id,home_st_3,home_st_3:def_pos,home_st_4:id,home_st_4,home_st_4:def_pos,home_st_5:id,home_st_5,home_st_5:def_pos,home_st_6:id,home_st_6,home_st_6:def_pos,home_st_7:id,home_st_7,home_st_7:def_pos,home_st_8:id,home_st_8,home_st_8:def_pos,home_st_9:id,home_st_9,home_st_9:def_pos,additional_infomation,acquisition_information
19700406,0,Mon,DET,AL,1,WS2,AL,1,5,0,54,D,,,,WAS10,45015,223,200001200,0,36,9,8,1,0,0,5,0,0,1,12,2,8,0,0,0,0,17,1,0,0,0,0,27,6,1,0,1,0,33,7,7,0,0,0,0,1,0,0,5,0,10,0,0,1,0,12,4,4,4,3,0,27,6,1,0,1,0,soarh901,Hank Soar,dimul901,Lou DiMuro,neudj901,Jerry Neudecker,ashfe901,Emmett Ashford,,(none),,(none),smitm105,Mayo Smith,willt103,Ted Williams,lolim101,Mickey Lolich,bosmd101,Dick Bosman,,(none),hortw101,Willie Horton,lolim101,Mickey Lolich,bosmd101,Dick Bosman,mcaud101,Dick McAuliffe,4,gutic101,Cesar Gutierrez,6,kalia101,Al Kaline,9,cashn101,Norm Cash,3,hortw101,Willie Horton,7,nortj101,Jim Northrup,8,joned102,Dalton Jones,5,freeb103,Bill Freehan,2,lolim101,Mickey Lolich,1,nelsd101,Dave Nelson,4,brine101,Ed Brinkman,6,howaf102,Frank Howard,7,mcmuk101,Ken McMullen,5,epstm101,Mike Epstein,3,alleh104,Hank Allen,9,unsed101,Del Unser,8,casap101,Paul Casanova,2,bosmd101,Dick Bosman,1,,Y
19700406,0,Mon,MON,NL,1,CIN,NL,1,1,5,51,D,,,,CIN07,30124,126,100,00041000x,29,3,2,0,1,0,1,0,0,0,2,0,8,0,1,0,0,3,3,5,5,0,0,24,10,1,0,0,0,32,8,2,2,1,3,5,0,1,0,5,0,5,0,0,0,0,9,1,1,1,0,0,27,7,0,0,0,0,burkk101,Ken Burkhart,sudoe901,Ed Sudol,weyel901,Lee Weyer,olsea901,Andy Olsen,,(none),,(none),maucg101,Gene Mauch,andes101,Sparky Anderson,merrj102,Jim Merritt,sparj101,Joe Sparma,,(none),may-l101,Lee May,sparj101,Joe Sparma,merrj102,Jim Merritt,suthg101,Gary Sutherland,4,staur001,Rusty Staub,9,fairr101,Ron Fairly,3,bailb103,Bob Bailey,7,laboc101,Coco Laboy,5,phila101,Adolfo Phillips,8,boccj101,John Boccabella,2,wineb101,Bobby Wine,6,sparj101,Joe Sparma,1,tolab101,Bobby Tolan,8,helmt101,Tommy Helms,4,rosep001,Pete Rose,9,peret001,Tony Perez,5,bencj101,Johnny Bench,2,may-l101,Lee May,3,carbb101,Bernie Carbo,7,concd001,Dave Concepcion,6,merrj102,Jim Merritt,1,,Y
19700407,0,Tue,MIN,AL,1,CHA,AL,1,12,0,54,D,,,,CHI10,11473,171,300030600,0,41,15,10,2,1,2,11,0,1,0,2,0,4,1,0,0,0,5,1,0,0,0,0,27,9,0,1,1,0,32,6,3,3,0,0,0,0,0,0,4,0,6,0,0,1,0,9,5,11,11,0,0,27,16,2,0,0,0,flahr901,Red Flaherty,stewb902,Bob Stewart,lucir901,Ron Luciano,anthm901,Merle Anthony,,(none),,(none),rignb101,Bill Rigney,guttd101,Don Gutteridge,perrj102,Jim Perry,johnt001,Tommy John,,(none),carer001,Rod Carew,perrj102,Jim Perry,johnt001,Tommy John,tovac101,Cesar Tovar,8,carer001,Rod Carew,4,killh102,Harmon Killebrew,5,olivt102,Tony Oliva,9,alyeb101,Brant Alyea,7,reesr101,Rich Reese,3,mittg101,George Mitterwald,2,cardl101,Leo Cardenas,6,perrj102,Jim Perry,1,willw103,Walt Williams,9,aparl101,Luis Aparicio,6,may-c101,Carlos May,7,meltb101,Bill Melton,5,matij101,John Matias,3,bradb105,Buddy Bradford,8,obris101,Syd O'Brien,4,josed101,Duane Josephson,2,johnt001,Tommy John,1,,Y
19700407,0,Tue,BAL,AL,1,CLE,AL,1,8,2,54,D,,,,CLE07,38180,180,10000241,100100000,33,8,4,3,0,1,8,0,0,0,10,0,14,3,1,0,0,8,1,2,2,0,0,27,10,0,0,1,0,27,4,3,0,0,1,2,3,0,0,3,0,13,0,0,1,0,4,5,8,8,2,0,27,9,1,1,1,0,chyln901,Nestor Chylak,goetr901,Russ Goetz,denkd901,Don Denkinger,frana901,Art Frantz,,(none),,(none),weave801,Earl Weaver,darka101,Alvin Dark,mcnad102,Dave McNally,mcdos101,Sam McDowell,,(none),mottc101,Curt Motton,mcnad102,Dave McNally,mcdos101,Sam McDowell,bufod101,Don Buford,7,belam101,Mark Belanger,6,robif103,Frank Robinson,9,poweb101,Boog Powell,3,blaip101,Paul Blair,8,robib104,Brooks Robinson,5,johnd105,Davey Johnson,4,etcha101,Andy Etchebarren,2,mcnad102,Dave McNally,1,fordt102,Ted Ford,9,uhlat101,Ted Uhlaender,8,fostr101,Roy Foster,7,hortt101,Tony Horton,3,fossr101,Ray Fosse,2,heidj101,Jack Heidemann,6,nettg001,Graig Nettles,5,leone102,Eddie Leon,4,mcdos101,Sam McDowell,1,,Y
19700407,0,Tue,OAK,AL,1,KCA,AL,1,6,4,54,D,,,,KAN05,18127,172,103110000,102001000,37,10,4,2,2,2,6,0,0,0,6,0,11,1,0,0,0,10,2,3,3,2,0,27,10,1,0,1,0,32,7,6,0,1,0,3,0,0,0,3,0,4,0,1,1,0,4,3,6,6,0,1,27,6,0,2,0,0,nappl901,Larry Napp,ricej901,John Rice,sprim901,Marty Springstead,barnl901,Larry Barnett,,(none),,(none),mcnaj801,John McNamara,metrc101,Charlie Metro,odomj101,Blue Moon Odom,bunkw101,Wally Bunker,fingr001,Rollie Fingers,alouf101,Felipe Alou,odomj101,Blue Moon Odom,bunkw101,Wally Bunker,campb101,Bert Campaneris,6,mondr001,Rick Monday,8,alouf101,Felipe Alou,7,jackr001,Reggie Jackson,9,bands101,Sal Bando,5,mincd101,Don Mincher,3,greed102,Dick Green,4,fernf101,Frank Fernandez,2,odomj101,Blue Moon Odom,1,kellp101,Pat Kelly,9,fiorm101,Mike Fiore,3,otisa001,Amos Otis,8,olivb101,Bob Oliver,5,pinil001,Lou Piniella,7,alcal101,Luis Alcaraz,4,hernj102,Jackie Hernandez,6,rodre101,Ellie Rodriguez,2,bunkw101,Wally Bunker,1,,Y
19700407,0,Tue,CAL,AL,1,MIL,AL,1,12,0,54,D,,,,MIL05,36107,166,13400310,0,37,14,8,3,3,0,10,2,1,0,4,0,8,1,0,2,0,5,1,0,0,0,0,27,6,1,0,1,0,31,4,3,1,0,0,0,0,0,0,4,0,11,0,0,1,0,8,5,10,10,2,0,27,13,2,0,2,0,runge901,Ed Runge,hallb901,Bill Haller,odomj901,Jim Odom,kunkb101,Bill Kunkel,,(none),,(none),phill801,Lefty Phillips,brisd801,Dave Bristol,messa101,Andy Messersmith,kraul102,Lew Krausse,,(none),spenj101,Jim Spencer,messa101,Andy Messersmith,kraul102,Lew Krausse,aloms101,Sandy Alomar,4,fregj101,Jim Fregosi,6,vossb101,Bill Voss,9,johna104,Alex Johnson,7,spenj101,Jim Spencer,3,repor101,Roger Repoz,8,azcuj101,Joe Azcue,2,rodra101,Aurelio Rodriguez,5,messa101,Andy Messersmith,1,harpt101,Tommy Harper,4,snydr102,Russ Snyder,8,hegam101,Mike Hegan,3,waltd101,Danny Walton,7,hovls101,Steve Hovley,9,mcnej101,Jerry McNertney,2,alvim101,Max Alvis,5,kubit101,Ted Kubiak,6,kraul102,Lew Krausse,1,,Y
19700407,0,Tue,BOS,AL,1,NYA,AL,1,4,3,54,D,,,,NYC16,21379,139,11020000,3000,35,11,7,3,1,0,4,1,0,0,5,1,3,1,0,0,0,10,2,3,3,0,0,27,11,1,0,0,0,33,7,6,1,0,0,3,1,0,1,4,0,5,0,0,0,0,9,4,4,4,0,0,27,12,1,0,0,0,honoj901,Jim Honochick,umonf901,Frank Umont,odonj901,Jake O'Donnell,malog901,George Maloney,,(none),,(none),kaske101,Eddie Kasko,houkr101,Ralph Houk,peteg101,Gary Peters,stotm101,Mel Stottlemyre,lee-b101,Bill Lee,peteg101,Gary Peters,peteg101,Gary Peters,stotm101,Mel Stottlemyre,andrm101,Mike Andrews,4,smitr101,Reggie Smith,8,yastc101,Carl Yastrzemski,7,scotg102,George Scott,3,petrr101,Rico Petrocelli,6,conit101,Tony Conigliaro,9,alval101,Luis Alvarado,5,mosej101,Jerry Moses,2,peteg101,Gary Peters,1,clarh101,Horace Clarke,4,munst101,Thurman Munson,2,whitr101,Roy White,7,ellij101,John Ellis,3,cated101,Danny Cater,5,murcb101,Bobby Murcer,8,blefc101,Curt Blefary,9,michg101,Gene Michael,6,stotm101,Mel Stottlemyre,1,,Y
19700407,0,Tue,DET,AL,2,WS2,AL,2,4,14,51,N,,,,WAS10,3372,193,201010000,04114220x,36,11,8,2,0,1,2,0,0,2,3,0,2,0,0,3,0,10,6,13,13,1,0,24,9,1,0,1,0,41,17,12,2,1,2,13,0,0,0,8,0,8,0,0,1,0,11,2,3,3,0,0,27,13,2,0,3,0,dimul901,Lou DiMuro,neudj901,Jerry Neudecker,ashfe901,Emmett Ashford,soarh901,Hank Soar,,(none),,(none),smitm105,Mayo Smith,willt103,Ted Williams,cox-c101,Casey Cox,wilse102,Earl Wilson,grzej101,Joe Grzenda,unsed101,Del Unser,wilse102,Earl Wilson,cox-c101,Casey Cox,mcaud101,Dick McAuliffe,4,gutic101,Cesar Gutierrez,6,kalia101,Al Kaline,9,cashn101,Norm Cash,3,hortw101,Willie Horton,7,nortj101,Jim Northrup,8,joned102,Dalton Jones,5,freeb103,Bill Freehan,2,wilse102,Earl Wilson,1,unsed101,Del Unser,8,brine101,Ed Brinkman,6,howaf102,Frank Howard,7,epstm101,Mike Epstein,3,mcmuk101,Ken McMullen,5,mayel101,Lee Maye,9,nelsd101,Dave Nelson,4,rosej101,John Roseboro,2,cox-c101,Casey Cox,1,,Y
19700407,0,Tue,CIN,NL,2,LAN,NL,1,4,0,54,N,,,,LOS03,30457,134,103000000,0,38,11,10,1,0,0,4,0,0,0,1,0,3,0,1,0,0,8,1,0,0,0,0,27,8,1,0,0,0,30,2,2,0,0,0,0,0,0,0,3,0,4,0,0,0,0,6,2,2,2,0,0,27,13,2,0,0,0,venzt901,Tony Venzon,secof101,Frank Secory,engeb901,Bob Engel,wendh901,Harry Wendelstedt,,(none),,(none),andes101,Sparky Anderson,alstw101,Walter Alston,nolag101,Gary Nolan,ostec103,Claude Osteen,,(none),peret001,Tony Perez,nolag101,Gary Nolan,ostec103,Claude Osteen,tolab101,Bobby Tolan,8,helmt101,Tommy Helms,4,rosep001,Pete Rose,9,peret001,Tony Perez,5,bencj101,Johnny Bench,2,may-l101,Lee May,3,mcrah001,Hal McRae,7,concd001,Dave Concepcion,6,nolag101,Gary Nolan,1,willm102,Maury Wills,6,buckb001,Bill Buckner,7,daviw102,Willie Davis,8,craww101,Willie Crawford,9,parkw101,Wes Parker,3,garvs001,Steve Garvey,5,hallt102,Tom Haller,2,sizet101,Ted Sizemore,4,ostec103,Claude Osteen,1,,Y
19700407,0,Tue,CHN,NL,1,PHI,NL,1,0,2,51,D,,,,PHI11,15918,127,0,00100010x,30,5,5,0,0,0,0,0,0,0,2,0,3,0,0,1,0,5,2,2,2,0,0,24,14,0,0,2,0,28,8,4,3,1,0,2,0,0,0,2,0,3,0,2,1,0,4,1,0,0,0,0,27,15,0,0,2,0,barla901,Al Barlick,varge901,Ed Vargo,pryop901,Paul Pryor,steld901,Dick Stello,,(none),,(none),durol101,Leo Durocher,luccf801,Frank Lucchesi,shorc102,Chris Short,jenkf101,Fergie Jenkins,,(none),doyld102,Denny Doyle,jenkf101,Fergie Jenkins,shorc102,Chris Short,kessd101,Don Kessinger,6,beckg101,Glenn Beckert,4,willb104,Billy Williams,7,santr102,Ron Santo,5,banke101,Ernie Banks,3,callj101,Johnny Callison,9,hickj103,Jim Hickman,8,martj107,J.C. Martin,2,jenkf101,Fergie Jenkins,1,bowal001,Larry Bowa,6,doyld102,Denny Doyle,4,hisll101,Larry Hisle,8,johnd103,Deron Johnson,3,brigj102,John Briggs,9,taylt101,Tony Taylor,7,mccat101,Tim McCarver,2,moned101,Don Money,5,shorc102,Chris Short,1,,Y
