year,home,home_triple_plays,home_complete_game,home_no_hitter,home_perfect_game,home_games,away_triple_plays,away_complete_game,away_no_hitter,away_perfect_game,away_games
1970,ATL,0,24,0,0,81,0,21,0,0,81
1970,BAL,0,35,0,0,81,0,25,0,0,81
1970,BOS,0,21,0,0,81,0,17,0,0,81
1970,CAL,0,14,1,0,81,1,7,0,0,81
1970,CHA,0,12,0,0,84,0,8,0,0,78
1970,CHN,0,30,0,0,80,0,29,0,0,82
1970,CIN,0,18,0,0,81,0,14,0,0,81
1970,CLE,0,16,0,0,81,1,18,0,0,81
1970,DET,0,17,0,0,81,0,16,0,0,81
1970,HOU,0,23,0,0,81,0,13,0,0,81
1970,KCA,0,18,0,0,79,0,12,0,0,83
1970,LAN,0,19,1,0,81,0,18,0,0,80
1970,MIL,0,17,0,0,81,0,14,0,0,82
1970,MIN,0,16,0,0,81,0,10,0,0,81
1970,MON,0,18,0,0,80,0,11,0,0,82
1970,NYA,0,24,0,0,81,0,12,0,0,82
1970,NYN,0,25,0,0,82,0,22,0,0,80
1970,OAK,0,19,1,0,81,0,14,0,0,81
1970,PHI,0,13,0,0,80,0,11,0,0,81
1970,PIT,1,22,0,0,82,0,14,1,0,80
1970,SDN,0,13,0,0,81,0,11,0,0,81
1970,SFN,0,28,0,0,81,0,22,0,0,81
1970,SLN,0,24,0,0,81,0,27,0,0,81
1970,WS2,0,12,0,0,81,0,8,0,0,81
1971,ATL,0,21,0,0,82,0,19,0,0,80
1971,BAL,0,38,0,0,77,0,33,0,0,81
1971,BOS,0,21,0,0,80,0,23,0,0,82
1971,CAL,0,22,0,0,81,0,17,0,0,81
1971,CHA,0,24,0,0,81,0,22,0,0,81
1971,CHN,0,35,0,0,81,0,40,1,0,81
1971,CIN,0,18,0,0,81,0,9,0,0,81
1971,CLE,0,10,0,0,81,0,11,0,0,81
1971,DET,0,33,0,0,81,0,20,0,0,81
1971,HOU,2,19,0,0,81,0,24,0,0,81
1971,KCA,0,17,0,0,81,0,17,0,0,80
1971,LAN,0,25,0,0,81,0,23,0,0,81
1971,MIL,0,20,0,0,82,1,12,0,0,79
1971,MIN,0,19,0,0,79,0,24,0,0,81
1971,MON,0,25,0,0,80,0,23,0,0,82
1971,NYA,0,38,0,0,81,0,29,0,0,81
1971,NYN,0,19,0,0,81,0,23,0,0,81
1971,OAK,0,30,0,0,81,0,27,0,0,79
1971,PHI,0,19,0,0,81,0,12,1,0,81
1971,PIT,1,23,0,0,80,0,20,0,0,82
1971,SDN,1,25,0,0,81,0,22,0,0,80
1971,SFN,0,27,0,0,81,0,18,0,0,81
1971,SLN,0,27,0,0,82,0,29,1,0,81
1971,WS2,0,18,0,0,80,0,11,0,0,78
1972,ATL,0,17,0,0,78,0,23,0,0,77
1972,BAL,0,32,0,0,77,0,30,0,0,77
1972,BOS,1,29,0,0,78,0,19,0,0,77
1972,CAL,0,32,0,0,79,1,24,0,0,75
1972,CHA,0,24,0,0,78,0,12,0,0,76
1972,CHN,0,23,2,0,77,1,31,0,0,79
1972,CIN,0,10,0,0,76,0,15,0,0,78
1972,CLE,0,22,0,0,77,0,25,0,0,79
1972,DET,0,25,0,0,78,0,21,0,0,78
1972,HOU,0,20,0,0,77,0,18,0,0,76
1972,KCA,0,24,0,0,77,1,20,0,0,77
1972,LAN,0,27,0,0,75,0,23,0,0,80
1972,MIL,0,19,0,0,79,0,18,0,0,77
1972,MIN,0,21,0,0,74,0,16,0,0,80
1972,MON,1,21,1,0,78,0,18,0,0,78
1972,NYA,0,19,0,0,77,0,16,0,0,78
1972,NYN,0,16,0,0,78,0,16,0,0,78
1972,OAK,0,26,0,0,77,0,16,0,0,78
1972,PHI,0,22,0,0,79,0,21,0,0,77
1972,PIT,0,17,0,0,78,0,22,0,0,77
1972,SDN,1,20,0,0,80,0,19,0,0,73
1972,SFN,0,23,0,0,77,0,21,0,0,78
1972,SLN,0,35,0,0,77,0,29,0,0,79
1972,TEX,0,7,0,0,77,0,4,0,0,76
1973,ATL,0,17,1,0,81,0,17,0,0,81
1973,BAL,1,32,0,0,81,1,35,0,0,81
1973,BOS,0,33,0,0,81,0,34,0,0,81
1973,CAL,0,41,0,0,81,0,31,2,0,81
1973,CHA,0,25,0,0,81,0,23,0,0,81
1973,CHN,0,11,0,0,80,0,16,0,0,81
1973,CIN,0,21,0,0,80,0,18,0,0,81
1973,CLE,0,28,0,0,81,1,27,0,0,81
1973,DET,0,16,0,0,81,0,23,0,0,81
1973,HOU,0,22,0,0,81,0,23,0,0,81
1973,KCA,0,20,0,0,81,0,20,1,0,81
1973,LAN,0,27,0,0,81,0,18,0,0,81
1973,MIL,0,29,0,0,81,0,21,0,0,81
1973,MIN,0,22,0,0,81,0,26,0,0,81
1973,MON,1,14,0,0,81,0,12,0,0,81
1973,NYA,0,25,0,0,81,0,22,0,0,81
